RUN	viade.Simulation1	simulation1	1588099345345	Routes view, ramp up 50 users during 60 seconds	3.3.1
USER	Simulation1	1	START	1588099346293	1588099346293
REQUEST	1		request_0	1588099346318	1588099346671	OK	 
REQUEST	1		request_0 Redirect 1	1588099346686	1588099346883	OK	 
REQUEST	1		auth-buttons.js	1588099346940	1588099347102	OK	 
REQUEST	1		bootstrap.min.css	1588099346938	1588099347121	OK	 
REQUEST	1		solid.css	1588099346939	1588099347145	OK	 
USER	Simulation1	2	START	1588099347302	1588099347302
REQUEST	1		solid-auth-client.bundle.js	1588099346939	1588099347400	OK	 
REQUEST	2		request_0	1588099347302	1588099347851	OK	 
REQUEST	2		request_0 Redirect 1	1588099347852	1588099347985	OK	 
REQUEST	2		solid.css	1588099347987	1588099348149	OK	 
REQUEST	2		bootstrap.min.css	1588099347987	1588099348152	OK	 
REQUEST	2		auth-buttons.js	1588099347988	1588099348161	OK	 
REQUEST	2		solid-auth-client.bundle.js	1588099347988	1588099348281	OK	 
USER	Simulation1	3	START	1588099348299	1588099348299
REQUEST	3		request_0	1588099348300	1588099348587	OK	 
REQUEST	3		request_0 Redirect 1	1588099348588	1588099348694	OK	 
REQUEST	3		solid.css	1588099348697	1588099348860	OK	 
REQUEST	3		bootstrap.min.css	1588099348696	1588099348870	OK	 
REQUEST	3		auth-buttons.js	1588099348698	1588099348918	OK	 
REQUEST	3		solid-auth-client.bundle.js	1588099348697	1588099349064	OK	 
USER	Simulation1	4	START	1588099349300	1588099349300
REQUEST	1		request_1	1588099349419	1588099349960	OK	 
REQUEST	4		request_0	1588099349301	1588099350183	OK	 
USER	Simulation1	5	START	1588099350298	1588099350298
REQUEST	4		request_0 Redirect 1	1588099350184	1588099350844	OK	 
REQUEST	2		request_1	1588099350298	1588099350990	OK	 
REQUEST	5		request_0	1588099350298	1588099351093	OK	 
REQUEST	4		solid.css	1588099350847	1588099351618	OK	 
REQUEST	4		auth-buttons.js	1588099350849	1588099351619	OK	 
REQUEST	4		bootstrap.min.css	1588099350847	1588099351641	OK	 
REQUEST	3		request_1	1588099351081	1588099351737	OK	 
REQUEST	4		solid-auth-client.bundle.js	1588099350848	1588099351884	OK	 
USER	Simulation1	6	START	1588099352299	1588099352299
REQUEST	5		request_0 Redirect 1	1588099351094	1588099352420	OK	 
REQUEST	1		request_2	1588099351961	1588099352509	KO	j.i.IOException: Premature close
REQUEST	5		bootstrap.min.css	1588099352422	1588099352866	OK	 
REQUEST	6		request_0	1588099352300	1588099352907	OK	 
REQUEST	5		solid.css	1588099352423	1588099352956	OK	 
REQUEST	5		auth-buttons.js	1588099352423	1588099352959	OK	 
USER	Simulation1	7	START	1588099353301	1588099353301
REQUEST	2		request_2	1588099352987	1588099353417	KO	j.i.IOException: Premature close
REQUEST	5		solid-auth-client.bundle.js	1588099352423	1588099353574	OK	 
REQUEST	3		request_2	1588099353742	1588099353993	KO	j.i.IOException: Premature close
REQUEST	7		request_0	1588099353301	1588099354200	OK	 
USER	Simulation1	8	START	1588099354303	1588099354303
REQUEST	6		request_0 Redirect 1	1588099352908	1588099354604	OK	 
REQUEST	4		request_1	1588099353891	1588099354618	OK	 
REQUEST	1		request_3	1588099354516	1588099355186	OK	 
REQUEST	8		request_0	1588099354303	1588099355255	OK	 
USER	Simulation1	9	START	1588099355289	1588099355289
